,validation,training,group
0,0.9100000262260437,0.925000011920929,500 samples
1,0.9399999976158142,0.9375,500 samples
2,1.0,0.9825000166893005,500 samples
3,0.9100000262260437,0.9200000166893005,500 samples
4,0.9100000262260437,0.9175000190734863,500 samples
5,0.9100000262260437,0.9225000143051147,500 samples
6,0.9100000262260437,0.9200000166893005,500 samples
7,0.949999988079071,0.9449999928474426,500 samples
8,0.9300000071525574,0.9300000071525574,500 samples
9,1.0,0.9800000190734863,500 samples
10,0.9225000143051147,0.9368749856948853,2000 samples
11,0.9125000238418579,0.9287499785423279,2000 samples
12,0.9075000286102295,0.9256250262260437,2000 samples
13,0.9100000262260437,0.9262499809265137,2000 samples
14,0.9100000262260437,0.9287499785423279,2000 samples
15,0.9150000214576721,0.925000011920929,2000 samples
16,0.9225000143051147,0.9356250166893005,2000 samples
17,0.9150000214576721,0.9268749952316284,2000 samples
18,0.987500011920929,0.9837499856948853,2000 samples
19,0.9599999785423279,0.9606249928474426,2000 samples
20,0.9225000143051147,0.9368749856948853,4000 samples
21,0.925000011920929,0.9243749976158142,4000 samples
22,0.9375,0.9359375238418579,4000 samples
23,0.9887499809265137,0.9915624856948853,4000 samples
24,0.9975000023841858,0.9850000143051147,4000 samples
25,0.9287499785423279,0.9246875047683716,4000 samples
26,0.9962499737739563,0.987500011920929,4000 samples
27,0.9300000071525574,0.9256250262260437,4000 samples
28,0.9300000071525574,0.9268749952316284,4000 samples
29,0.9312499761581421,0.9290624856948853,4000 samples
30,0.984375,0.9904687404632568,8000 samples
31,0.9462500214576721,0.928906261920929,8000 samples
32,0.9462500214576721,0.9271875023841858,8000 samples
33,0.9806249737739563,0.9807812571525574,8000 samples
34,0.9456250071525574,0.9271875023841858,8000 samples
35,0.9506250023841858,0.9339062571525574,8000 samples
36,0.9668750166893005,0.9467187523841858,8000 samples
37,0.9950000047683716,0.9910937547683716,8000 samples
38,0.9793750047683716,0.9623437523841858,8000 samples
39,0.9956250190734863,0.9923437237739563,8000 samples
40,0.9887499809265137,0.9847656488418579,16000 samples
41,0.9937499761581421,0.9805468916893005,16000 samples
42,0.9678124785423279,0.9767968654632568,16000 samples
43,0.9743750095367432,0.9637500047683716,16000 samples
44,0.9937499761581421,0.9899218678474426,16000 samples
45,0.9928125143051147,0.9906250238418579,16000 samples
46,0.9887499809265137,0.9886718988418579,16000 samples
47,0.9300000071525574,0.9305468797683716,16000 samples
48,0.9287499785423279,0.9301562309265137,16000 samples
49,0.9300000071525574,0.9293749928474426,16000 samples
50,0.9900000095367432,0.9773125052452087,Augmented set
51,0.9975000023841858,0.9764687418937683,Augmented set
52,0.9900000095367432,0.9787499904632568,Augmented set
53,0.9900000095367432,0.9780625104904175,Augmented set
54,0.9825000166893005,0.9781562685966492,Augmented set
55,0.9900000095367432,0.9779687523841858,Augmented set
56,0.987500011920929,0.9777812361717224,Augmented set
57,0.9850000143051147,0.9784374833106995,Augmented set
58,0.9950000047683716,0.9791250228881836,Augmented set
59,0.9925000071525574,0.9783124923706055,Augmented set
