,validation,training,group
0,0.4652777777777778,0.25,20
1,0.6805555555555556,0.5,20
2,1.0,0.5,20
3,1.0,1.0,20
4,1.0,0.25,20
5,0.9375,0.25,20
6,1.0,0.0,20
7,1.0,0.5,20
8,0.8125,0.25,20
9,1.0,1.0,20
10,1.0,0.6111111111111112,20
11,1.0,0.25,20
12,1.0,0.5833333333333334,20
13,0.7916666666666666,0.8055555555555556,20
14,1.0,0.25,20
15,1.0,0.5,20
16,1.0,0.5,20
17,1.0,0.0,20
18,1.0,0.25,20
19,1.0,0.25,20
20,0.9930555555555556,0.75,20
21,1.0,0.25,20
22,1.0,1.0,20
23,0.5625,0.0,20
24,0.7152777777777778,0.5,20
25,1.0,0.4444444444444444,20
26,1.0,0.5,20
27,1.0,0.25,20
28,1.0,0.5,20
29,0.9583333333333334,0.3888888888888889,20
30,1.0,0.5,20
31,1.0,0.5,20
32,1.0,0.5,20
33,1.0,0.0,20
34,1.0,0.5,20
35,1.0,0.75,20
36,1.0,0.25,20
37,0.3541666666666667,0.25,20
38,1.0,0.5,20
39,1.0,0.5,20
40,1.0,0.5833333333333334,20
41,1.0,0.75,20
42,1.0,0.5,20
43,1.0,0.5,20
44,1.0,0.75,20
45,1.0,0.75,20
46,0.8819444444444444,0.4722222222222222,20
47,0.875,0.25,20
48,0.8402777777777778,0.0,20
49,1.0,0.75,20
50,1.0,0.4000000059604645,50
51,0.9861111111111112,0.6000000238418579,50
52,1.0,0.699999988079071,50
53,1.0,0.4555555582046509,50
54,1.0,0.4000000059604645,50
55,1.0,0.5,50
56,0.6111111044883728,0.30000001192092896,50
57,0.7888888981607225,0.7555555568801032,50
58,0.9944444497426351,0.5888889100816515,50
59,1.0,0.699999988079071,50
60,1.0,0.699999988079071,50
61,1.0,0.5,50
62,0.825000007947286,0.4000000059604645,50
63,0.8666666679912143,0.3888888955116272,50
64,1.0,0.6000000238418579,50
65,0.9833333492279053,0.800000011920929,50
66,1.0,0.6000000238418579,50
67,0.9750000238418579,0.5111111137602065,50
68,0.8388889034589132,0.5888889100816515,50
69,0.8500000172191196,0.3777777850627899,50
70,0.550000011920929,0.36666667461395264,50
71,1.0,0.5888889100816515,50
72,0.9833333492279053,0.699999988079071,50
73,1.0,0.6000000238418579,50
74,1.0,0.800000011920929,50
75,1.0,0.20000000298023224,50
76,0.9638888968361748,0.699999988079071,50
77,0.8416666785875956,0.2777777844005161,50
78,0.9194444484180875,0.6333333452542623,50
79,1.0,0.699999988079071,50
80,1.0,0.6000000238418579,50
81,0.8666666679912143,0.5,50
82,0.9138888849152459,0.5555555688010322,50
83,1.0,0.8999999761581421,50
84,0.9694444669617547,0.699999988079071,50
85,1.0,0.6000000238418579,50
86,1.0,0.30000001192092896,50
87,0.699999988079071,0.30000001192092896,50
88,0.9972222248713175,0.30000001192092896,50
89,1.0,0.30000001192092896,50
90,1.0,0.6000000238418579,50
91,0.8833333253860474,0.20000000298023224,50
92,0.949999988079071,0.5888888968361748,50
93,1.0,0.5,50
94,0.949999988079071,0.24444445222616196,50
95,1.0,0.800000011920929,50
96,0.6611111031638252,0.2888888998164071,50
97,0.9472222129503886,0.699999988079071,50
98,0.8583333227369521,0.25555556350284153,50
99,0.7972222235467699,0.20000000298023224,50
100,1.0,0.7055555449591743,100
101,0.9916666679912143,0.47777777247958714,100
